date_applicable,total_tonnage,recycling_tonnage,refuse_tonnage,OBJECTID
3/25/2019,170.18,71.81,170.18,0
3/26/2019,160.85,70.18,160.85,1
3/27/2019,178.44,73.92,178.44,2
3/28/2019,150.39,69.73,150.39,3
3/29/2019,147.8,57.72,147.8,4
4/1/2019,187.87,68.05,187.87,5
4/2/2019,161.42,59.48,161.42,6
4/3/2019,188.39,63.57,188.39,7
4/4/2019,150.56,75.64,150.56,8
4/5/2019,151.16,56.79,151.16,9
4/7/2019,5.09,0,5.09,10
4/8/2019,172.9,76.92,172.9,11
4/9/2019,169.59,62.29,169.59,12
4/10/2019,189.42,77.44,189.42,13
4/11/2019,144.77,73.06,144.77,14
4/12/2019,139.83,56.26,139.83,15
4/13/2019,0.66,0,0.66,16
4/15/2019,164.76,61.86,164.76,17
4/16/2019,147.79,57.81,147.79,18
4/17/2019,186.34,65.2,186.34,19
4/18/2019,165.84,74.48,165.84,20
4/19/2019,143.34,56.26,143.34,21
4/20/2019,0.73,0,0.73,22
4/22/2019,187.81,74.4,187.81,23
4/23/2019,166.76,65.86,166.76,24
4/24/2019,204.06,83.77,204.06,25
4/25/2019,169.26,74.38,169.26,26
4/26/2019,167,63.12,167,27
4/27/2019,0.58,0,0.58,28
4/28/2019,2.04,0,2.04,29
4/29/2019,178.43,64.75,178.43,30
4/30/2019,160.82,60.76,160.82,31
5/1/2019,182.14,66.87,182.14,32
5/2/2019,158.31,76.89,158.31,33
5/3/2019,139.8,51.61,139.8,34
5/4/2019,0.73,0,0.73,35
5/6/2019,189.92,81.98,189.92,36
5/7/2019,180.03,64.16,180.03,37
5/8/2019,208.37,81.48,208.37,38
5/9/2019,155.96,71.93,155.96,39
5/10/2019,163.19,67.54,163.19,40
5/11/2019,0.85,0,0.85,41
5/13/2019,185.86,63.66,185.86,42
5/14/2019,171.6,62.2,171.6,43
5/15/2019,206.4,63.53,206.4,44
5/16/2019,185.05,68.84,185.05,45
5/17/2019,154.24,61.69,154.24,46
5/18/2019,0.79,0,0.79,47
5/20/2019,197.11,71.33,197.11,48
5/21/2019,175.08,73.89,175.08,49
5/22/2019,200.87,82.48,200.87,50
5/23/2019,170.88,75.11,170.88,51
5/24/2019,172.17,69.89,172.17,52
5/25/2019,6.23,0,6.23,53
5/26/2019,4.41,0,4.41,54
5/28/2019,406.68,132.71,406.68,55
5/29/2019,230.56,65.25,230.56,56
5/30/2019,176.61,83.15,176.61,57
5/31/2019,179.19,58.94,179.19,58
6/1/2019,1.52,0,1.52,59
6/3/2019,187.23,73.92,187.23,60
6/4/2019,198.91,72.67,198.91,61
6/5/2019,221.97,88.38,221.97,62
6/6/2019,174.91,70.81,174.91,63
6/7/2019,168.95,67.06,168.95,64
6/8/2019,0.85,0,0.85,65
6/10/2019,194.5,62.34,194.5,66
6/11/2019,180.73,65.02,180.73,67
6/12/2019,211.91,68.03,211.91,68
6/13/2019,159.17,75.69,159.17,69
6/14/2019,162.12,59.61,162.12,70
6/15/2019,0.99,0,0.99,71
6/17/2019,186.21,70.1,186.21,72
6/18/2019,173.47,70.11,173.47,73
6/19/2019,210.21,83.77,210.21,74
6/20/2019,159.74,62.02,159.74,75
6/21/2019,164.8,64.26,164.8,76
6/22/2019,0.9,0,0.9,77
6/24/2019,201.96,65.49,201.96,78
6/25/2019,172.71,62.12,172.71,79
6/26/2019,214.89,65.23,214.89,80
6/27/2019,168.94,72.93,168.94,81
6/28/2019,154.67,57.92,154.67,82
6/29/2019,0.54,0,0.54,83
