Meeting_ID,Topic,Scheduled_Start_Time,Zoom_Meeting_Start_Time,Zoom_Meeting_End_Time,Duration,Participants,Recording,Agenda_Link,Minutes_Link
954 410 442,CCEC,4:30:00 PM,3/31/2020 15:40,6:27 PM,2:47:55,52,Yes,https://madison.legistar.com/View.ashx?M=A&ID=749806&GUID=DCDE4C54-93C7-4202-9D08-3A8E262387B7,https://madison.legistar.com/View.ashx?M=M&ID=749806&GUID=DCDE4C54-93C7-4202-9D08-3A8E262387B7
531 697 510,Common Council,6:30:00 PM,3/31/2020 17:04,02:53 AM(Next day),9:48:36,337,Yes,https://madison.legistar.com/View.ashx?M=A&ID=715266&GUID=667A9CCE-CE4A-40AB-BBC6-8917E001494C,https://madison.legistar.com/View.ashx?M=M&ID=715266&GUID=667A9CCE-CE4A-40AB-BBC6-8917E001494C
411 578 576,"Finance Committee: Meeting of April 6, 2020",4:30:00 PM,4/6/2020 15:40,5:49 PM,2:09:00,31,Yes,https://madison.legistar.com/View.ashx?M=A&ID=726493&GUID=D16BF8EB-44C0-4251-A185-3923BD0A2D19,https://madison.legistar.com/View.ashx?M=M&ID=726493&GUID=D16BF8EB-44C0-4251-A185-3923BD0A2D19
563 608 269,"CCEC: Meeting of April 9, 2020",6:00:00 PM,4/9/2020 16:57,7:53 PM,2:56:08,36,Yes,https://madison.legistar.com/View.ashx?M=A&ID=773823&GUID=66DAE6D2-3338-4C95-AAB6-B800980E73B9,https://madison.legistar.com/View.ashx?M=M&ID=773823&GUID=66DAE6D2-3338-4C95-AAB6-B800980E73B9
468 948 855,"Plan Commission: Meeting of April 13, 2020",5:30:00 PM,4/13/2020 16:35,9:14 PM,4:38:54,80,Yes,https://madison.legistar.com/View.ashx?M=A&ID=724483&GUID=B480C83E-F275-4018-987B-648BBD551C52,https://madison.legistar.com/View.ashx?M=M&ID=738042&GUID=95608D36-CD05-4B23-B2AA-4FB71B42CBBD
215 073 411,"Transportation Commission: Meeting of April 15, 2020",5:00:00 PM,4/15/2020 16:26,9:49 PM,5:22:28,67,Yes,https://madison.legistar.com/View.ashx?M=A&ID=739134&GUID=79242CB5-96C0-4A62-9033-58693D6A2F8F,https://madison.legistar.com/View.ashx?M=M&ID=739134&GUID=79242CB5-96C0-4A62-9033-58693D6A2F8F
726 353 926,"Common Council Executive Committee: Meeting of April 16, 2020",6:00:00 PM,4/16/2020 17:27,8:10 PM,2:42:53,38,Yes,https://madison.legistar.com/View.ashx?M=A&ID=774308&GUID=982D207F-C520-4916-8188-F4539F8F7C32,https://madison.legistar.com/View.ashx?M=M&ID=774308&GUID=982D207F-C520-4916-8188-F4539F8F7C32
956 1908 1738,"Common Council Executive Committee: Meeting of April 21, 2020",4:30:00 PM,4/21/2020 15:46,5:10 PM,1:24:05,30,Yes,https://madison.legistar.com/View.ashx?M=A&ID=776191&GUID=900B6B83-D7FB-471E-9ACE-B1B929190B18,https://madison.legistar.com/View.ashx?M=M&ID=776191&GUID=900B6B83-D7FB-471E-9ACE-B1B929190B18
223 864 435,"Common Council: Meeting of April 21, 2020",6:30:00 PM,4/21/2020 17:09,10:55 PM,5:45:23,60,Yes,https://madison.legistar.com/View.ashx?M=A&ID=715267&GUID=8F6C4C17-206B-418D-893A-75AEEE3B27E5,https://madison.legistar.com/View.ashx?M=M&ID=776191&GUID=900B6B83-D7FB-471E-9ACE-B1B929190B18
833 002 902,"Board of Public Works: Meeting of April 22, 2020",4:30:00 PM,4/22/2020 15:31,7:08 PM,3:37:43,48,Yes,https://madison.legistar.com/View.ashx?M=A&ID=718256&GUID=4D3EA821-E4D7-4A25-849F-A1989EF63B9C,https://madison.legistar.com/View.ashx?M=M&ID=718256&GUID=4D3EA821-E4D7-4A25-849F-A1989EF63B9C
860 935 226,"Alcohol License Review Committee: Meeting of April 23, 2020",5:30:00 PM,4/23/2020 16:39,12:58 AM(Next day),8:19:16,98,Yes,https://madison.legistar.com/View.ashx?M=A&ID=715291&GUID=CE822419-8C6D-42D2-B959-0B2EFE500CDD,https://madison.legistar.com/View.ashx?M=M&ID=715291&GUID=CE822419-8C6D-42D2-B959-0B2EFE500CDD
351 427 294,"Plan Commission : Meeting of April 27, 2020",5:30:00 PM,4/27/2020 16:28,8:47 PM,4:19:10,82,Yes,https://madison.legistar.com/View.ashx?M=A&ID=724484&GUID=EAE2240E-8B57-4EF0-9F74-03C51950E723,https://madison.legistar.com/View.ashx?M=M&ID=724484&GUID=EAE2240E-8B57-4EF0-9F74-03C51950E723
649 837 674,Finance Committee,4:30:00 PM,4/28/2020 15:29,6:25 PM,2:55:59,40,Yes,https://madison.legistar.com/View.ashx?M=A&ID=726494&GUID=E5CCEE56-8216-45BD-A4AC-3FD0C31BEBF6,https://madison.legistar.com/View.ashx?M=M&ID=726494&GUID=E5CCEE56-8216-45BD-A4AC-3FD0C31BEBF6
533 380 868,Urban Design Commission,4:30:00 PM,4/29/2020 15:29,10:03 PM,6:33:32,149,Yes,https://madison.legistar.com/View.ashx?M=A&ID=724456&GUID=E59D2809-03E3-49F6-BD1D-591704AAEACD,https://madison.legistar.com/View.ashx?M=M&ID=724456&GUID=E59D2809-03E3-49F6-BD1D-591704AAEACD
139 008 584,"Landmarks Commission: Meeting of May 4, 2020",5:00:00 PM,5/4/2020 15:55,9:16 PM,5:20:23,73,Yes,https://madison.legistar.com/View.ashx?M=A&ID=774355&GUID=82522B88-9F4F-48FD-9F96-95975DDA94EA,https://madison.legistar.com/View.ashx?M=M&ID=774355&GUID=82522B88-9F4F-48FD-9F96-95975DDA94EA
976 9451 6662,"Madison Area Transportation Policy and Planning Board : Meeting of May 4, 2020",6:00:00 PM,5/4/2020 17:02,10:27 PM,5:24:59,58,Yes,https://madison.legistar.com/View.ashx?M=A&ID=782498&GUID=95864EAA-10C1-4866-AA34-C134B80BA5F5,https://madison.legistar.com/View.ashx?M=M&ID=782498&GUID=95864EAA-10C1-4866-AA34-C134B80BA5F5
548 172 690,"Common Council: Meeting of May 5, 2020",6:30:00 PM,5/5/2020 17:32,8:43 PM,3:10:54,48,Yes,https://madison.legistar.com/View.ashx?M=A&ID=715268&GUID=9AF3E608-D17A-45DA-821B-D471ADA873D6,https://madison.legistar.com/View.ashx?M=M&ID=715268&GUID=9AF3E608-D17A-45DA-821B-D471ADA873D6
989 9834 0093,"Food Policy Council: Meeting of May 6, 2020",5:30:00 PM,5/6/2020 16:33,7:37 PM,3:03:54,45,Yes,https://madison.legistar.com/View.ashx?M=A&ID=783363&GUID=BD1D4E67-732F-4A2A-8283-D63EB2F024CD,https://madison.legistar.com/View.ashx?M=M&ID=783363&GUID=BD1D4E67-732F-4A2A-8283-D63EB2F024CD
906 738 884,"Madison Area Transportation Planning Board: Meeting of May 6, 2020",,5/6/2020 17:27,8:38 PM,3:10:51,34,Yes,,
121 909 553,"Plan Commission: Meeting of May 11, 2020",5:30:00 PM,5/11/2020 16:35,12:57 AM(Next day),8:22:07,261,Yes,https://madison.legistar.com/View.ashx?M=A&ID=724485&GUID=EA96A06D-92BB-4B98-A6F6-E5F683E6F5AE,https://madison.legistar.com/View.ashx?M=M&ID=724485&GUID=EA96A06D-92BB-4B98-A6F6-E5F683E6F5AE
939 522 512,"Finance Committee, Meeting of May 12, 2020",4:30:00 PM,5/12/2020 15:34,7:19 PM,3:44:51,59,Yes,https://madison.legistar.com/View.ashx?M=A&ID=726495&GUID=8BF0EBC8-EDDD-4BDB-9677-DAFB4AC0A9A4,https://madison.legistar.com/View.ashx?M=M&ID=726495&GUID=8BF0EBC8-EDDD-4BDB-9677-DAFB4AC0A9A4
972 1640 6101,"Transportation Commission: Meeting of May 13, 2020",5:00:00 PM,5/13/2020 16:09,9:37 PM,5:28:02,40,Yes,https://madison.legistar.com/View.ashx?M=A&ID=739136&GUID=6BC14F10-DCD5-426E-8B92-3DDFFEFDAD38,https://madison.legistar.com/View.ashx?M=M&ID=739136&GUID=6BC14F10-DCD5-426E-8B92-3DDFFEFDAD38
835 979 507,"Board of Park Commissioners: Meeting of May 13, 2020",6:30:00 PM,5/13/2020 17:29,11:20 PM,5:50:10,45,Yes,https://madison.legistar.com/View.ashx?M=A&ID=724811&GUID=9BB2E40C-D74D-47B8-BF8D-51756EF32F83,https://madison.legistar.com/View.ashx?M=M&ID=724811&GUID=9BB2E40C-D74D-47B8-BF8D-51756EF32F83
916 4101 8749,"Monona Terrace Community & Convention Center Board: Meeting of May 14, 2020",5:00:00 PM,5/14/2020 14:59,6:21 PM,3:22:17,37,Yes,https://madison.legistar.com/View.ashx?M=A&ID=742250&GUID=07763D98-B1F0-46B1-AF0E-25072E61BC4F,https://madison.legistar.com/View.ashx?M=M&ID=742250&GUID=07763D98-B1F0-46B1-AF0E-25072E61BC4F
993 5233 4556,"Common Council Executive Committee, Meeting of May 14, 2020",6:00:00 PM,5/14/2020 16:42,7:39 PM,2:57:03,30,Yes,https://madison.legistar.com/View.ashx?M=A&ID=786779&GUID=82E43E92-0139-49FC-A1E2-A1ED5CAC6989,https://madison.legistar.com/View.ashx?M=M&ID=786779&GUID=82E43E92-0139-49FC-A1E2-A1ED5CAC6989
443 958 481,"Plan Commission: Meeting of May 18, 2020",5:30:00 PM,5/18/2020 16:32,12:58 AM(Next day),8:26:40,217,Yes,https://madison.legistar.com/View.ashx?M=A&ID=724487&GUID=F226CEA6-6260-42C9-9185-FDF2C98142B8,https://madison.legistar.com/View.ashx?M=M&ID=724487&GUID=F226CEA6-6260-42C9-9185-FDF2C98142B8
928 0949 3190,"Task Force on Municipal Golf in Madison Parks: Meeting of May 18, 2020",6:00:00 PM,5/18/2020 17:01,7:59 PM,2:57:23,39,Yes,https://madison.legistar.com/View.ashx?M=A&ID=786538&GUID=336930B2-4248-4DB3-87B1-A3FAA7D0758D,https://madison.legistar.com/View.ashx?M=M&ID=786538&GUID=336930B2-4248-4DB3-87B1-A3FAA7D0758D
854 797 383,"Common Council Executive Committee Meeting of May 19, 2020",4:30:00 PM,5/19/2020 15:38,5:34 PM,1:56:26,33,Yes,https://madison.legistar.com/View.ashx?M=A&ID=724049&GUID=28AFB02B-6DE6-4B44-B1D3-22CE8AA86F87,https://madison.legistar.com/View.ashx?M=M&ID=724049&GUID=28AFB02B-6DE6-4B44-B1D3-22CE8AA86F87
552 344 132,"Common Council: Meeting of May 19, 2020",6:30:00 PM,5/19/2020 17:27,8:33 PM,3:06:22,60,Yes,https://madison.legistar.com/View.ashx?M=A&ID=715269&GUID=F4FFAA0F-E7C1-4172-8AC1-33C0878CC57B,https://madison.legistar.com/View.ashx?M=M&ID=715269&GUID=F4FFAA0F-E7C1-4172-8AC1-33C0878CC57B
935 6577 3110,"Board of Public Works: Meeting of May 20, 2020",4:30:00 PM,5/20/2020 15:29,6:58 PM,3:28:32,40,Yes,https://madison.legistar.com/View.ashx?M=A&ID=718259&GUID=F301E6A4-B09B-4D3F-9D96-1965C378CCA1,https://madison.legistar.com/View.ashx?M=M&ID=718259&GUID=F301E6A4-B09B-4D3F-9D96-1965C378CCA1
666 426 707,"Alcohol License Review Committee: Meeting of May 20, 2020",4:30:00 PM,5/20/2020 16:28,10:18 PM,5:50:16,83,Yes,https://madison.legistar.com/View.ashx?M=A&ID=718259&GUID=F301E6A4-B09B-4D3F-9D96-1965C378CCA1,https://madison.legistar.com/View.ashx?M=M&ID=718259&GUID=F301E6A4-B09B-4D3F-9D96-1965C378CCA1
176 599 423,"Zoning Board of Appeals Meeting of May 21, 2020",5:00:00 PM,5/21/2020 15:38,6:36 PM,2:57:35,18,Yes,https://madison.legistar.com/View.ashx?M=A&ID=749349&GUID=665F112C-D5F0-4A27-9C94-E10935F8AA49,https://madison.legistar.com/View.ashx?M=M&ID=749349&GUID=665F112C-D5F0-4A27-9C94-E10935F8AA49
949 1863 4933,"Community Development Authority Meeting of May 26, 2020",4:30:00 PM,5/26/2020 15:33,5:35 PM,2:02:43,22,Yes,https://madison.legistar.com/View.ashx?M=A&ID=743427&GUID=4D1F7D2D-A1E6-4AF0-8138-1A102746205C,https://madison.legistar.com/View.ashx?M=M&ID=743427&GUID=4D1F7D2D-A1E6-4AF0-8138-1A102746205C
105 805 151,"Urban Design Commission Meeting of May 27, 2020",4:30:00 PM,5/27/2020 15:33,11:05 PM,7:31:43,141,Yes,https://madison.legistar.com/View.ashx?M=A&ID=724458&GUID=E9B1E5CB-7478-4B49-B812-A2D6FB136F54,https://madison.legistar.com/View.ashx?M=M&ID=724458&GUID=E9B1E5CB-7478-4B49-B812-A2D6FB136F54
913 7849 8397,"Alcohol License Review Committee: Meeting of May 27, 2020",5:30:00 PM,5/27/2020 16:17,9:31 PM,5:14:10,47,Yes,https://madison.legistar.com/View.ashx?M=A&ID=790252&GUID=2480AEC0-5911-419A-90C5-66E8BA8A9881,https://madison.legistar.com/View.ashx?M=M&ID=790252&GUID=2480AEC0-5911-419A-90C5-66E8BA8A9881
954 0023 4258,"Alcohol License Review Committee: Meeting of May 28, 2020",6:30:00 PM,5/28/2020 17:30,8:05 PM,2:35:01,32,Yes,https://madison.legistar.com/View.ashx?M=A&ID=790253&GUID=3DB20DE4-5C8B-4C79-8DDB-D38E8AE27821,https://madison.legistar.com/View.ashx?M=M&ID=790253&GUID=3DB20DE4-5C8B-4C79-8DDB-D38E8AE27821
968 0402 1997,"Room Tax Commission Meeting of May 29, 2020",4:00:00 PM,5/29/2020 15:01,7:17 PM,4:16:05,33,Yes,https://madison.legistar.com/View.ashx?M=A&ID=789839&GUID=F4A353AB-BB12-477D-B790-DFBB968D7E21,https://madison.legistar.com/View.ashx?M=M&ID=789839&GUID=F4A353AB-BB12-477D-B790-DFBB968D7E21
916 2725 9506,"Landmarks Commission: Meeting of June 1, 2020",5:00:00 PM,6/1/2020 13:03,7:29 PM,6:26:31,48,Yes,https://madison.legistar.com/View.ashx?M=A&ID=721067&GUID=00F28AAB-E3BA-4A15-81FD-7F166B2B0E5A,https://madison.legistar.com/View.ashx?M=M&ID=721067&GUID=00F28AAB-E3BA-4A15-81FD-7F166B2B0E5A
990 0603 7580,"Common Council: Meeting of June 2, 2020",6:30:00 PM,6/2/2020 15:38,11:01 PM,7:22:20,131,Yes,https://madison.legistar.com/View.ashx?M=A&ID=790872&GUID=CB759CA4-BDAB-44B7-BB23-B1DAB72ACF90,https://madison.legistar.com/View.ashx?M=M&ID=790872&GUID=CB759CA4-BDAB-44B7-BB23-B1DAB72ACF90
956 8010 0375,"Common Council Executive Committee Meeting of June 2, 2020",4:30:00 PM,6/2/2020 16:07,5:48 PM,1:41:52,39,Yes,https://madison.legistar.com/View.ashx?M=A&ID=724050&GUID=27719B15-0BB2-4B04-896B-E3902462F763,https://madison.legistar.com/View.ashx?M=M&ID=724050&GUID=27719B15-0BB2-4B04-896B-E3902462F763
942 3897 2790,"Board of Public Works: Meeting of June 3, 2020",4:30:00 PM,6/3/2020 15:28,5:20 PM,1:52:26,25,Yes,https://madison.legistar.com/View.ashx?M=A&ID=718260&GUID=7FA91889-F9EF-4953-A1CD-074F8276AB64,https://madison.legistar.com/View.ashx?M=M&ID=718260&GUID=7FA91889-F9EF-4953-A1CD-074F8276AB64
922 4816 7942,"Madison Food Policy Council: Meeting of June 3, 2020",5:30:00 PM,6/3/2020 16:50,6:55 PM,2:04:22,52,Yes,https://madison.legistar.com/View.ashx?M=A&ID=783364&GUID=DDC61295-E063-40C0-97E1-E6E2ED6645EA,https://madison.legistar.com/View.ashx?M=M&ID=783364&GUID=DDC61295-E063-40C0-97E1-E6E2ED6645EA
991 6972 5895,Community Development Block Grant Committee: Meeting of June 4,5:00:00 PM,6/4/2020 16:50,7:20 PM,2:30:17,39,No,https://madison.legistar.com/View.ashx?M=A&ID=737930&GUID=5B591F52-4049-4125-9FB3-1DF6C7201A37,https://madison.legistar.com/View.ashx?M=M&ID=737930&GUID=5B591F52-4049-4125-9FB3-1DF6C7201A37
916 8581 5937,Madison Public Library Board,5:00:00 PM,6/4/2020 16:55,6:37 PM,1:42:50,47,No,https://madison.legistar.com/View.ashx?M=A&ID=721765&GUID=3E8E11BF-60BF-4E01-B492-D7D1DAD85086,https://madison.legistar.com/View.ashx?M=M&ID=721765&GUID=3E8E11BF-60BF-4E01-B492-D7D1DAD85086
