Meeting_ID,Committee_Name,Meeting_Date,Meeting_Time,Entry_ID,Zip_Code,Registration_Time,Agenda_Item,Agenda_Item_Title,Support,Speaking,OBJECTID
,Public Safety Review Committee,6/10/2020,,92954,53704,6/10/2020 14:39,2,,Support,"No, I do not want to speak.",0
,Public Safety Review Committee,6/10/2020,,92955,53704,6/10/2020 14:40,3,,Oppose,"No, I do not want to speak.",1
,Public Safety Review Committee,6/10/2020,,92947,53704,6/10/2020 14:38,3,,Oppose,"No, I do not want to speak.",2
,Public Safety Review Committee,6/10/2020,,92994,53719,6/10/2020 14:48,3,,Oppose,"No, I do not want to speak.",3
,public safety review,6/10/2020,,93063,53711,6/10/2020 14:58,3,,Oppose,"No, I do not want to speak.",4
,Public Safety Committe,6/10/2020,,93298,53715,6/10/2020 15:38,3,,Support,"No, I do not want to speak.",5
,Finance Committee,6/10/2020,,93306,53705,6/10/2020 15:40,3,,Oppose,"No, I do not want to speak.",6
,Public Safety Committee,6/10/2020,,93511,53703,6/10/2020 16:08,3,,Oppose,"No, I do not want to speak.",7
,Public Safety Committee,6/10/2020,,93516,53703,6/10/2020 16:09,4,,Oppose,"No, I do not want to speak.",8
,Finance ,6/10/2020,,93310,53705,6/10/2020 15:41,4,,Oppose,"No, I do not want to speak.",9
,Public Safety Committe,6/10/2020,,93300,53715,6/10/2020 15:38,4,,Support,"No, I do not want to speak.",10
,Public Safety Review Committee,6/10/2020,,93002,53719,6/10/2020 14:50,4,,Oppose,"No, I do not want to speak.",11
,Public Safety Review Committee,6/10/2020,,92948,53704,6/10/2020 14:39,4,,Oppose,"No, I do not want to speak.",12
,Public Safety Review Committee,6/10/2020,,92957,53704,6/10/2020 14:40,4,,Oppose,"No, I do not want to speak.",13
,planning commission,5/18/2020,,86187,53715,5/18/2020 16:16,4,,Oppose,"No, I do not want to speak.",14
,Planning commission,5/18/2020,,86209,11577,5/18/2020 16:34,4,,Support,"I do not want to speak, but I am available to answer questions.",15
,Planning commission ,5/18/2020,,86213,11577,5/18/2020 16:39,4,,Support,"I do not want to speak, but I am available to answer questions.",16
,Plan Commission,5/18/2020,,86215,61525,5/18/2020 16:42,4,,Oppose,"No, I do not want to speak.",17
,Planning Committee,5/18/2020,,86260,60657,5/18/2020 17:42,4,,Support,"Yes, I want to speak.",18
,Planning Committee,5/18/2020,,86262,60657,5/18/2020 17:47,4,,Support,"Yes, I want to speak.",19
,Plan Commission,5/18/2020,,86266,60647,5/18/2020 17:51,4,,Support,"Yes, I want to speak.",20
,Laura Garling ,5/18/2020,,86306,53703,5/18/2020 20:05,4,,Oppose,"No, I do not want to speak.",21
