Meeting_ID,Topic,Scheduled_Start_Time,Zoom_Meeting_Start_Time,Zoom_Meeting_End_Time,Duration,Participants,Recording,Agenda_Link,Minutes_Link,Start_Date,Start_Time,Meeting_Duration,Committee
954 410 442,CCEC,4:30:00 PM,2020-03-31 15:40:00,2020-03-31 18:27:00,2:47:55,52,Yes,https://madison.legistar.com/View.ashx?M=A&ID=749806&GUID=DCDE4C54-93C7-4202-9D08-3A8E262387B7,https://madison.legistar.com/View.ashx?M=M&ID=749806&GUID=DCDE4C54-93C7-4202-9D08-3A8E262387B7,3/31/2020,15:40,0 days 02:47:00.000000000,Common Council Executive Committee
531 697 510,Common Council,6:30:00 PM,2020-03-31 17:04:00,2020-04-01 02:53:00,9:48:36,337,Yes,https://madison.legistar.com/View.ashx?M=A&ID=715266&GUID=667A9CCE-CE4A-40AB-BBC6-8917E001494C,https://madison.legistar.com/View.ashx?M=M&ID=715266&GUID=667A9CCE-CE4A-40AB-BBC6-8917E001494C,3/31/2020,17:04,0 days 09:49:00.000000000,Common Council Executive Committee
411 578 576,"Finance Committee: Meeting of April 6, 2020",4:30:00 PM,2020-04-06 15:40:00,2020-04-06 17:49:00,2:09:00,31,Yes,https://madison.legistar.com/View.ashx?M=A&ID=726493&GUID=D16BF8EB-44C0-4251-A185-3923BD0A2D19,https://madison.legistar.com/View.ashx?M=M&ID=726493&GUID=D16BF8EB-44C0-4251-A185-3923BD0A2D19,4/6/2020,15:40,0 days 02:09:00.000000000,Finance Committee
563 608 269,"CCEC: Meeting of April 9, 2020",6:00:00 PM,2020-04-09 16:57:00,2020-04-09 19:53:00,2:56:08,36,Yes,https://madison.legistar.com/View.ashx?M=A&ID=773823&GUID=66DAE6D2-3338-4C95-AAB6-B800980E73B9,https://madison.legistar.com/View.ashx?M=M&ID=773823&GUID=66DAE6D2-3338-4C95-AAB6-B800980E73B9,4/9/2020,16:57,0 days 02:56:00.000000000,Common Council Executive Committee
468 948 855,"Plan Commission: Meeting of April 13, 2020",5:30:00 PM,2020-04-13 16:35:00,2020-04-13 21:14:00,4:38:54,80,Yes,https://madison.legistar.com/View.ashx?M=A&ID=724483&GUID=B480C83E-F275-4018-987B-648BBD551C52,https://madison.legistar.com/View.ashx?M=M&ID=738042&GUID=95608D36-CD05-4B23-B2AA-4FB71B42CBBD,4/13/2020,16:35,0 days 04:39:00.000000000,Plan Commission
215 073 411,"Transportation Commission: Meeting of April 15, 2020",5:00:00 PM,2020-04-15 16:26:00,2020-04-15 21:49:00,5:22:28,67,Yes,https://madison.legistar.com/View.ashx?M=A&ID=739134&GUID=79242CB5-96C0-4A62-9033-58693D6A2F8F,https://madison.legistar.com/View.ashx?M=M&ID=739134&GUID=79242CB5-96C0-4A62-9033-58693D6A2F8F,4/15/2020,16:26,0 days 05:23:00.000000000,Transportation Commission
726 353 926,"Common Council Executive Committee: Meeting of April 16, 2020",6:00:00 PM,2020-04-16 17:27:00,2020-04-16 20:10:00,2:42:53,38,Yes,https://madison.legistar.com/View.ashx?M=A&ID=774308&GUID=982D207F-C520-4916-8188-F4539F8F7C32,https://madison.legistar.com/View.ashx?M=M&ID=774308&GUID=982D207F-C520-4916-8188-F4539F8F7C32,4/16/2020,17:27,0 days 02:43:00.000000000,Common Council Executive Committee
956 1908 1738,"Common Council Executive Committee: Meeting of April 21, 2020",4:30:00 PM,2020-04-21 15:46:00,2020-04-21 17:10:00,1:24:05,30,Yes,https://madison.legistar.com/View.ashx?M=A&ID=776191&GUID=900B6B83-D7FB-471E-9ACE-B1B929190B18,https://madison.legistar.com/View.ashx?M=M&ID=776191&GUID=900B6B83-D7FB-471E-9ACE-B1B929190B18,4/21/2020,15:46,0 days 01:24:00.000000000,Common Council Executive Committee
223 864 435,"Common Council: Meeting of April 21, 2020",6:30:00 PM,2020-04-21 17:09:00,2020-04-21 22:55:00,5:45:23,60,Yes,https://madison.legistar.com/View.ashx?M=A&ID=715267&GUID=8F6C4C17-206B-418D-893A-75AEEE3B27E5,https://madison.legistar.com/View.ashx?M=M&ID=776191&GUID=900B6B83-D7FB-471E-9ACE-B1B929190B18,4/21/2020,17:09,0 days 05:46:00.000000000,Common Council Executive Committee
833 002 902,"Board of Public Works: Meeting of April 22, 2020",4:30:00 PM,2020-04-22 15:31:00,2020-04-22 19:08:00,3:37:43,48,Yes,https://madison.legistar.com/View.ashx?M=A&ID=718256&GUID=4D3EA821-E4D7-4A25-849F-A1989EF63B9C,https://madison.legistar.com/View.ashx?M=M&ID=718256&GUID=4D3EA821-E4D7-4A25-849F-A1989EF63B9C,4/22/2020,15:31,0 days 03:37:00.000000000,Board of Public Works
860 935 226,"Alcohol License Review Committee: Meeting of April 23, 2020",5:30:00 PM,2020-04-23 16:39:00,2020-04-24 00:58:00,8:19:16,98,Yes,https://madison.legistar.com/View.ashx?M=A&ID=715291&GUID=CE822419-8C6D-42D2-B959-0B2EFE500CDD,https://madison.legistar.com/View.ashx?M=M&ID=715291&GUID=CE822419-8C6D-42D2-B959-0B2EFE500CDD,4/23/2020,16:39,0 days 08:19:00.000000000,Alcohol License Review Committee
351 427 294,"Plan Commission : Meeting of April 27, 2020",5:30:00 PM,2020-04-27 16:28:00,2020-04-27 20:47:00,4:19:10,82,Yes,https://madison.legistar.com/View.ashx?M=A&ID=724484&GUID=EAE2240E-8B57-4EF0-9F74-03C51950E723,https://madison.legistar.com/View.ashx?M=M&ID=724484&GUID=EAE2240E-8B57-4EF0-9F74-03C51950E723,4/27/2020,16:28,0 days 04:19:00.000000000,Plan Commission
649 837 674,Finance Committee,4:30:00 PM,2020-04-28 15:29:00,2020-04-28 18:25:00,2:55:59,40,Yes,https://madison.legistar.com/View.ashx?M=A&ID=726494&GUID=E5CCEE56-8216-45BD-A4AC-3FD0C31BEBF6,https://madison.legistar.com/View.ashx?M=M&ID=726494&GUID=E5CCEE56-8216-45BD-A4AC-3FD0C31BEBF6,4/28/2020,15:29,0 days 02:56:00.000000000,Finance Committee
533 380 868,Urban Design Commission,4:30:00 PM,2020-04-29 15:29:00,2020-04-29 22:03:00,6:33:32,149,Yes,https://madison.legistar.com/View.ashx?M=A&ID=724456&GUID=E59D2809-03E3-49F6-BD1D-591704AAEACD,https://madison.legistar.com/View.ashx?M=M&ID=724456&GUID=E59D2809-03E3-49F6-BD1D-591704AAEACD,4/29/2020,15:29,0 days 06:34:00.000000000,Urban Design Commission
139 008 584,"Landmarks Commission: Meeting of May 4, 2020",5:00:00 PM,2020-05-04 15:55:00,2020-05-04 21:16:00,5:20:23,73,Yes,https://madison.legistar.com/View.ashx?M=A&ID=774355&GUID=82522B88-9F4F-48FD-9F96-95975DDA94EA,https://madison.legistar.com/View.ashx?M=M&ID=774355&GUID=82522B88-9F4F-48FD-9F96-95975DDA94EA,5/4/2020,15:55,0 days 05:21:00.000000000,Landmarks Commission
976 9451 6662,"Madison Area Transportation Policy and Planning Board : Meeting of May 4, 2020",6:00:00 PM,2020-05-04 17:02:00,2020-05-04 22:27:00,5:24:59,58,Yes,https://madison.legistar.com/View.ashx?M=A&ID=782498&GUID=95864EAA-10C1-4866-AA34-C134B80BA5F5,https://madison.legistar.com/View.ashx?M=M&ID=782498&GUID=95864EAA-10C1-4866-AA34-C134B80BA5F5,5/4/2020,17:02,0 days 05:25:00.000000000,MATPB
