,Tri-gram,Frequency
0,aldermanic district alder,295
1,class combination liquor,222
2,combination liquor beer,222
3,madison general ordinance,194
4,alcohol food aldermanic,164
5,food aldermanic district,164
6,th ald dist,149
7,beer alcohol food,148
8,liquor beer alcohol,144
9,section madison general,133
10,authorizing mayor city,127
11,mayor city clerk,126
12,consideration conditional use,119
13,creating section madison,109
14,approving plan specification,92
15,th ad approving,88
16,beer aldermanic district,86
17,ad approving plan,82
18,city clerk execute,80
19,awarding public work,79
